Comment,Description,Designator,Footprint,LibRef,Quantity

"MBRD1035CTLT4G","35V 470mV@5A 5A TO-252-2(DPAK) Schottky Barrier Diodes (SBD) ROHS","DU?","MBRD1035CTLT4G","MBRD1035CTLT4G","1"
"MD02","MD02 17A 2 cheel motor driver","MD?","MD02","MD02 Motor Driver","1"
"Heaader 2","KH-2.54FH-1X2P-H8.5
2.54mm 3A -40¢J~+105¢J Straight 1x2P 8.5mm Top 2 1 Square Holes Plugin,P=2.54mm  Female Headers ROHS
-----
KH-2.54PH180-1X2P-L11.5
3A Straight Square Pins 2.5mm 6mm -40¢J~+105¢J 1 2 3mm 2.54mm Black 1x2P Plugin,P=2.54mm  Pin Headers ROHS","P?","KH-2.54FH-1X2P-H8.5","Header 2","1"
"Heaader 4","KH-2.54FH-1X4P-H8.5
2.54mm 3A -40¢J~+105¢J Straight 1x4P 8.5mm Top 4 1 Square Holes Plugin,P=2.54mm  Female Headers ROHS
-----
KH-2.54PH180-1X4P-L11.5
3A Straight Square Pins 2.5mm 6mm -40¢J~+105¢J 1 4 3mm 2.54mm Black 1x4P Plugin,P=2.54mm  Pin Headers ROHS","P?","KH-2.54FH-1X4P-H8.5","Header 4","1"
"Heaader 6","KH-2.54FH-1X6P-H8.5
2.54mm 3A -40¢J~+105¢J Straight 1x6P 8.5mm Top 6 1 Square Holes Plugin,P=2.54mm  Female Headers ROHS
-----
KH-2.54PH180-1X6P-L11.5
3A Straight Square Pins 2.5mm 6mm -40¢J~+105¢J 1 6 3mm 2.54mm Black 1x6P Plugin,P=2.54mm  Pin Headers ROHS","P?","KH-2.54FH-1X6P-H8.5","Header 6","1"
"Heaader 7","KH-2.54FH-1X7P-H8.5
2.54mm 3A -40¢J~+105¢J Straight 1x7P 8.5mm Top 7 1 Square Holes Plugin,P=2.54mm  Female Headers ROHS
-----
KH-2.54PH180-1X7P-L11.5
3A Straight Square Pins 2.5mm 6mm -40¢J~+105¢J 1 7 3mm 2.54mm Black 1x7P Plugin,P=2.54mm  Pin Headers ROHS","P?","KH-2.54FH-1X7P-H8.5","Header 7","1"
"Heaader 8","KH-2.54FH-1X8P-H8.5
2.54mm 3A -40¢J~+105¢J Straight 1x8P 8.5mm Top 8 1 Square Holes Plugin,P=2.54mm  Female Headers ROHS
-----
KH-2.54PH180-1X8P-L11.5
3A Straight Square Pins 2.5mm 6mm -40¢J~+105¢J 1 8 3mm 2.54mm Black 1x8P Plugin,P=2.54mm  Pin Headers ROHS","P?","KH-2.54FH-1X8P-H8.5","Header 8","1"
"Header 12","KH-2.54FH-1X12P-H8.5
2.54mm 3A -40¢J~+105¢J Straight 1x12P 8.5mm Top 12 1 Square Holes Plugin,P=2.54mm  Female Headers ROHS
-----
KH-2.54PH180-1X8P-L11.5
3A Straight Square Pins 2.5mm 6mm -40¢J~+105¢J 1 12 3mm 2.54mm Black 1x12P Plugin,P=2.54mm  Pin Headers ROHS","P?","KH-2.54PH180-1X12P-L11.5 (Pad Linked)","Header 12","1"
"S6B-XH-A(LF)(SN)","1x6P XH 1 2.5mm 6 Brass Plugin,P=2.5mm  Wire To Board / Wire To Wire Connector ROHS","P?","S6B-XH-A(LF)(SN)","S6B-XH-A(LF)(SN)","1"
"OPA4277UA/2K5","790£gA 1MHz 4 4V~36V,¡Ó2V~18V 0.8 V/us General Purpose SOIC-14  Precision OpAmps ROHS","U?","OPA4277UA/2K5","OPA4277UA/2K5","1"
